,Round 1,Round 1,,,,,,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats
102,Ottawa Senators,Tobias Lindberg\lindbto01,SE,RW,18,2016,Djurgarden Jr. (Sweden-Jr.),6,0,2,2,0,4,,,,,,
103,Los Angeles Kings,Justin Auger\augerju01,CA,RW,19,,Guelph (OHL),,,,,,,,,,,,
104,Winnipeg Jets,Andrew Copp\coppan01,US,C,19,2016,Michigan (CCHA),78,7,7,14,10,6,,,,,,
105,Columbus Blue Jackets,Nick Moutrey\moutrni01,CA,C/LW,18,,Saginaw (OHL),,,,,,,,,,,,
106,New York Islanders,Stephon Williams\willist01,US,G,20,,Minnesota State (WCHA),,,,,,,,,,,,
107,Minnesota Wild,Dylan Labbe\labbedy01,CA,D,18,,Shawinigan (QMJHL),,,,,,,,,,,,
108,Ottawa Senators,Ben Harpur\harpube01,CA,D,18,2016,Guelph (OHL),5,0,1,1,1,2,,,,,,
109,Detroit Red Wings,David Pope\popeda01,CA,LW,18,,West Kelowna (BCHL),,,,,,,,,,,,
110,New York Rangers,Ryan Graves\gravery01,CA,D,18,,PEI (QMJHL),,,,,,,,,,,,
111,Chicago Blackhawks,Robin Norell\norelro01,SE,D,18,,Djurgarden Jr. (Sweden-Jr.),,,,,,,,,,,,
112,St. Louis Blues,Zach Pochiro\pochiza01,US,LW,19,,Prince George (WHL),,,,,,,,,,,,
113,Edmonton Oilers,Aidan Muir\muirai01,CA,W,18,,Victory Honda Midget (MWEHL),,,,,,,,,,,,
114,Winnipeg Jets,Jan Kostalek\kostaja02,CZ,D,18,,Rimouski (QMJHL),,,,,,,,,,,,
115,Vancouver Canucks,Jordan Subban\subbajo01,CA,D,18,,Belleville (OHL),,,,,,,,,,,,
116,Montreal Canadiens,Martin Reway\rewayma01,CZ,LW,18,,Gatineau (QMJHL),,,,,,,,,,,,
117,San Jose Sharks,Fredrik Bergvik\bergvfr01,SE,G,18,,Frolunda Jr. (Sweden-Jr.),,,,,,,,,,,,
118,Los Angeles Kings,Hudson Fasching\faschhu01,US,RW,18,2016,USA U-18 (USHL),7,1,1,2,2,4,,,,,,
119,Pittsburgh Penguins,Ryan Segalla\segalry01,US,D,18,,Salisbury (HIGH-CT),,,,,,,,,,,,
120,Boston Bruins,Ryan Fitzgerald\fitzgry01,US,C,18,,Valley (EJHL),,,,,,,,,,,,
121,Chicago Blackhawks,Tyler Motte\mottety01,US,C,18,,USA U-18 (USHL),,,,,,,,,,,,
,Round 5,Round 5,,,,,,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats
Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA
122,Florida Panthers,Christopher Clapperton\clappch01,CA,LW,19,,Blainville-Boisbriand (QMJHL),,,,,,,,,,,,
123,Colorado Avalanche,Will Butcher\butchwi01,US,D,18,,USA U-18 (USHL),,,,,,,,,,,,
124,Tampa Bay Lightning,Kristers Gudlevskis\gudlekr01,LV,G,21,2016,Riga 2 (Russia-Jr.),2,0,0,0,0,0,2,1,0,1,.957,1.50
125,Nashville Predators,Saku Maenalanen\maenasa01,FI,RW,19,,Karpat Jr. (Finland-Jr.),,,,,,,,,,,,
126,Carolina Hurricanes,Brent Pedersen\pederbr01,CA,LW,18,,Kitchener (OHL),,,,,,,,,,,,
127,Winnipeg Jets,Tucker Poolman\poolmtu01,US,D,20,,Omaha (USHL),,,,,,,,,,,,
128,Edmonton Oilers,Evan Campbell\campbev01,CA,LW,20,,Langley (BCHL),,,,,,,,,,,,
129,Buffalo Sabres,Calvin Petersen\peterca01,US,G,18,,Waterloo (USHL),,,,,,,,,,,,
130,Buffalo Sabres,Gustav Possler\posslgu01,SE,RW,18,,Modo Jr. (Sweden-Jr.),,,,,,,,,,,,
131,Dallas Stars,Cole Ully\ullyco01,CA,LW,18,,Kamloops (WHL),,,,,,,,,,,,
132,Philadelphia Flyers,Terrance Amorosa\amorote01,CA,D,18,,Holderness (High-NH),,,,,,,,,,,,
133,Phoenix Coyotes,Connor Clifton\cliftco01,US,D,18,,USA U-18 (USHL),,,,,,,,,,,,
134,Chicago Blackhawks,Luke Johnson\johnslu01,US,C,18,,Lincoln (USHL),,,,,,,,,,,,
135,Calgary Flames,Eric Roy\royer03,CA,D,18,,Brandon (WHL),,,,,,,,,,,,
136,New York Islanders,Victor CrusRydberg\crusrvi01,SE,C,18,,Linkoping Jr. (Sweden-Jr.),,,,,,,,,,,,
137,Minnesota Wild,Carson Soucy\soucyca01,CA,D,19,,Spruce Grove (AJHL),,,,,,,,,,,,
138,Ottawa Senators,Vincent Dunn\dunnvi01,CA,C,18,,Val-D'Or (QMJHL),,,,,,,,,,,,
139,Detroit Red Wings,Mitchell Wheaton\wheatmi01,CA,D,18,,Kelowna (WHL),,,,,,,,,,,,
140,Nashville Predators,Teemu Kivihalme\kivihte01,US,D,18,,Burnsville (High-MN),,,,,,,,,,,,
141,San Jose Sharks,Michael Brodzinski\brodzmi01,US,D,18,,Muskegon (USHL),,,,,,,,,,,,
142,Toronto Maple Leafs,Fabrice Herzog\herzofa01,CH,RW,18,,Zug Jr. (Swiss-Jr.),,,,,,,,,,,,
143,Buffalo Sabres,Anthony Florentino\florean01,US,D,18,,Selects U18 - South Kent (HIGH-CT),,,,,,,,,,,,
144,Washington Capitals,Blake Heinrich\heinrbl01,US,D,18,,Sioux City (USHL),,,,,,,,,,,,
145,Vancouver Canucks,Anton Cederholm\cederan01,SE,D,18,,Rogle Jr. (Sweden-Jr.),,,,,,,,,,,,
146,Los Angeles Kings,Patrik Bartosak\bartopa01,CZ,G,20,,Red Deer (WHL),,,,,,,,,,,,
147,Anaheim Ducks,Grant Besse\bessegr01,US,RW,19,,Benilde-St.Margaret's (High-MN),,,,,,,,,,,,
148,Los Angeles Kings,Jonny Brodzinski\brodzjo01,US,C,20,,St. Cloud State (WCHA),,,,,,,,,,,,
149,Dallas Stars,Matej Paulovic\pauloma01,SK,LW,18,,Farjestad Jr. (Sweden-Jr.),,,,,,,,,,,,
150,Boston Bruins,Wiley Sherman\shermwi01,US,D,18,,Hotchkiss School (HIGH-CT),,,,,,,,,,,,
151,San Jose Sharks,Gage Ausmus\ausmuga01,US,D,18,,USA U-18 (USHL),,,,,,,,,,,,
,Round 6,Round 6,,,,,,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats
Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA
152,Florida Panthers,Joshua Brown\brownjo01,CA,D,19,,Oshawa (OHL),,,,,,,,,,,,
153,Colorado Avalanche,Ben Storm\stormbe01,US,D,19,,Muskegon (USHL),,,,,,,,,,,,
154,Tampa Bay Lightning,Henri Ikonen\ikonehe01,FI,LW,19,,Kingston (OHL),,,,,,,,,,,,
155,Nashville Predators,Emil Pettersson\petteem01,SE,C,19,,Timra Jr. (Sweden-Jr.),,,,,,,,,,,,
156,Carolina Hurricanes,Tyler Ganly\ganlyty01,CA,D,18,,Sault Ste. Marie (OHL),,,,,,,,,,,,
157,Calgary Flames,Tim Harrison\harriti01,US,RW,19,,Dexter Prep (High-MA),,,,,,,,,,,,
158,Edmonton Oilers,Ben Betker\betkebe01,CA,D,18,,Everett (WHL),,,,,,,,,,,,
159,Buffalo Sabres,Sean Malone\malonse01,US,C,18,,USA U-18 (USHL),,,,,,,,,,,,
160,New Jersey Devils,Myles Bell\bellmy01,CA,RW,20,,Kelowna (WHL),,,,,,,,,,,,
161,Ottawa Senators,Chris Leblanc\leblach01,US,RW,20,,South Shore (EJHL),,,,,,,,,,,,
162,Philadelphia Flyers,Merrick Madsen\madseme01,US,G,18,,Proctor Academy (High-NH),,,,,,,,,,,,
163,Phoenix Coyotes,Brendan Burke\burkebr01,US,G,18,,Portland (WHL),,,,,,,,,,,,
164,Pittsburgh Penguins,Dane Birks\birksda01,CA,D,18,,Merritt (BCHL),,,,,,,,,,,,
165,Columbus Blue Jackets,Markus Soberg\soberma01,NO,RW,18,,Frolunda Jr. (Sweden-Jr.),,,,,,,,,,,,
166,New York Islanders,Alan Quine\quineal01,CA,C,20,2016,Belleville (OHL),2,1,0,1,0,0,,,,,,
167,Minnesota Wild,Avery Peterson\peterav01,US,C,18,,Grand Rapids (High-MN),,,,,,,,,,,,
168,Ottawa Senators,Quentin Shore\shorequ01,US,C,19,,Denver (WCHA),,,,,,,,,,,,
169,Detroit Red Wings,Marc McNulty\mcnulma01,CA,D,18,,Prince George (WHL),,,,,,,,,,,,
170,New York Rangers,Mackenzie Skapski\skapsma01,CA,G,19,2015,Kootenay (WHL),2,0,0,0,0,0,2,2,0,0,.978,0.50
171,Nashville Predators,Tommy Veilleux\veillto01,CA,LW,18,,Victoriaville (QMJHL),,,,,,,,,,,,
172,Toronto Maple Leafs,Antoine Bibeau\bibeaan01,CA,G,19,,PEI (QMJHL),,,,,,,,,,,,
173,St. Louis Blues,Santeri Saari\saarisa01,FI,D,18,,Jokerit Jr. (Finland-Jr.),,,,,,,,,,,,
174,Washington Capitals,Brian Pinho\pinhobr01,US,C,18,,St. John'S Prep (High-MA),,,,,,,,,,,,
175,Vancouver Canucks,Mike Williamson\willimi01,CA,D,20,,Spruce Grove (AJHL),,,,,,,,,,,,
176,Montreal Canadiens,Jeremy Gregoire\gregoje01,CA,C,18,,Baie-Comeau (QMJHL),,,,,,,,,,,,
177,Anaheim Ducks,Miro Aaltonen\aaltomi01,FI,C,20,,Blues (Finland),,,,,,,,,,,,
178,Los Angeles Kings,Zachary Leslie\lesliza01,CA,D,19,,Guelph (OHL),,,,,,,,,,,,
179,Pittsburgh Penguins,Blaine Byron\byronbl01,CA,C,18,,Smiths Falls (CCHL),,,,,,,,,,,,
180,Boston Bruins,Anton Blidh\blidhan01,SE,LW,18,,Frolunda Jr. (Sweden-Jr.),,,,,,,,,,,,
181,Chicago Blackhawks,Anthony Louis\louisan01,US,C,18,,USA U-18 (USHL),,,,,,,,,,,,
,Round 7,Round 7,,,,,,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Scoring Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats,NHL Goalie Stats
Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA
182,Dallas Stars,Aleksi Makela\makelal01,FI,D,18,,Ilves Jr. (Finland-Jr.),,,,,,,,,,,,
183,Colorado Avalanche,Wilhelm Westlund\westlwi01,SE,D,18,,Farjestad Jr. (Sweden-Jr.),,,,,,,,,,,,
184,Tampa Bay Lightning,Saku Salminen\salmisa01,FI,C,18,,K-Vantaa (Finland-2),,,,,,,,,,,,
185,Nashville Predators,Wade Murphy\murphwa01,CA,RW,19,,Penticton (BCHL),,,,,,,,,,,,
186,Tampa Bay Lightning,Joel Vermin\vermijo01,CH,RW,21,2016,Bern (Swiss),6,0,1,1,1,0,,,,,,
187,Calgary Flames,Rushan Rafikov\rafikru01,RU,D,18,,Yaroslavl 2 (Russia-Jr.),,,,,,,,,,,,
188,Edmonton Oilers,Gregory Chase\chasegr01,CA,C/RW,18,,Calgary (WHL),,,,,,,,,,,,
189,Buffalo Sabres,Eric Locke\lockeer01,US,C,19,,Saginaw (OHL),,,,,,,,,,,,
190,Winnipeg Jets,Brenden Kichton\kichtbr01,CA,D,21,,Spokane (WHL),,,,,,,,,,,,
191,Los Angeles Kings,Dominik Kubalik\kubaldo01,CZ,LW,18,,Sudbury (OHL),,,,,,,,,,,,
192,Philadelphia Flyers,David Drake\drakeda02,US,D,18,,Des Moines (USHL),,,,,,,,,,,,
193,Phoenix Coyotes,Jedd Soleway\solewje01,CA,C,19,,Penticton (BCHL),,,,,,,,,,,,
194,Winnipeg Jets,Marcus Karlstrom\karlsma02,SE,D,18,,AIK U18 (Sweden-Jr.),,,,,,,,,,,,
195,Columbus Blue Jackets,Peter Quenneville\quennpe01,CA,C/RW,19,,Dubuque (USHL),,,,,,,,,,,,
196,New York Islanders,Kyle Burroughs\burroky01,CA,D,18,,Regina (WHL),,,,,,,,,,,,
197,Minnesota Wild,Nolan De Jong\dejonno01,CA,D,18,,Victoria (WHL),,,,,,,,,,,,
198,Calgary Flames,John Gilmour\gilmojo01,CA,D,20,,Providence (H-East),,,,,,,,,,,,
199,Detroit Red Wings,Hampus Melen\melenha01,SE,RW,18,,Tingsryd (Sweden-Jr.),,,,,,,,,,,,
200,Minnesota Wild,Alexandre Belanger\belanal02,CA,G,18,,Rouyn-Noranda (QMJHL),,,,,,,,,,,,
201,San Jose Sharks,Jacob Jackson\jacksja02,US,C,18,,Tartan (High-MN),,,,,,,,,,,,
202,Toronto Maple Leafs,Andreas Johnson\johnsan01,SE,LW,18,,Frolunda Jr. (Sweden-Jr.),,,,,,,,,,,,
203,Nashville Predators,Janne Juvonen\juvonja01,FI,G,18,,Pelicans Jr. (Finland-Jr.),,,,,,,,,,,,
204,Washington Capitals,Tyler Lewington\lewinty01,CA,D,18,,Medicine Hat (WHL),,,,,,,,,,,,
205,Vancouver Canucks,Miles Liberati\libermi01,US,D,18,,London (OHL),,,,,,,,,,,,
206,Florida Panthers,MacKenzie Weegar\weegama01,CA,D,19,,Halifax (QMJHL),,,,,,,,,,,,
207,San Jose Sharks,Emil Galimov\galimem01,RU,LW,21,,Yaroslavl (Russia),,,,,,,,,,,,
208,New Jersey Devils,Anthony Brodeur\brodean01,US,G,18,,Shattuck-St.Marys Prep (High-MN),,,,,,,,,,,,
209,Pittsburgh Penguins,Troy Josephs\joseptr01,CA,C,19,,St. Michaels (OJHL),,,,,,,,,,,,
210,Boston Bruins,Mitchell Dempsey\dempsmi01,CA,LW,18,,Sault Ste. Marie (OHL),,,,,,,,,,,,
211,Chicago Blackhawks,Robin Press\pressro01,SE,D,18,,Sodertalje (Sweden-2),,,,,,,,,,,,